state,subject_1,subject_2,n1,n2,jsd,p_value,effect_z,q_value
High Instantaneous LF (Z > 0.5),S16,S9,53941,68547,0.18515158172862092,0.0,12022.199840109082,0.0
Low Instantaneous Vagal Action (Z < -0.5),S11,S4,112092,105164,0.08899775999882871,0.0,11756.251487075997,0.0
High Instantaneous LF (Z > 0.5),S11,S15,57115,45935,0.2018649955884441,0.0,11556.015653155015,0.0
Low Instantaneous Vagal Action (Z < -0.5),S11,S17,112092,117004,0.08388046234692394,0.0,11348.084533822192,0.0
High Instantaneous LF (Z > 0.5),S4,S7,48235,55760,0.18434097946916178,0.0,10821.248314457403,0.0
Low Instantaneous Vagal Action (Z < -0.5),S4,S9,105164,55075,0.11969643968273176,0.0,10340.442853196413,0.0
High Instantaneous LF (Z > 0.5),S14,S7,60525,55760,0.16546258735720062,0.0,10257.148831637707,0.0
Low Instantaneous Vagal Action (Z < -0.5),S4,S7,105164,118929,0.0840699745381447,0.0,10220.262429443193,0.0
Low Instantaneous Vagal Action (Z < -0.5),S4,S6,105164,104068,0.08383415926527325,0.0,10040.76848101696,0.0
High Instantaneous LF (Z > 0.5),S2,S3,45256,60856,0.16583963002411967,0.0,10001.924178838748,0.0
High Instantaneous LF (Z > 0.5),S10,S16,51497,53941,0.17902846255828805,0.0,9912.636242663106,0.0
High Instantaneous LF (Z > 0.5),S11,S3,57115,60856,0.1531777934163601,0.0,9743.066080820443,0.0
High Instantaneous SCL (Z > 0.5),S14,S2,61474,76240,0.13235743846159367,0.0,9687.664534369322,0.0
High Instantaneous SCL (Z > 0.5),S16,S8,67300,75366,0.06304121593141185,0.0,9684.567695226651,0.0
Low Instantaneous Vagal Action (Z < -0.5),S11,S16,112092,115497,0.07994927445375909,0.0,9651.213846373785,0.0
High Instantaneous LF (Z > 0.5),S5,S7,58750,55760,0.14312203070458973,0.0,9471.190827162887,0.0
High Instantaneous LF (Z > 0.5),S16,S4,53941,48235,0.1542379123718574,0.0,9447.069152833614,0.0
High Instantaneous LF (Z > 0.5),S13,S5,58738,58750,0.13824333250778123,0.0,9423.876573088077,0.0
High Instantaneous SCL (Z > 0.5),S10,S8,72500,75366,0.06304121593141185,0.0,9403.308091503757,0.0
High Instantaneous LF (Z > 0.5),S16,S5,53941,58750,0.1341597119030097,0.0,9223.28645487832,0.0
High Instantaneous LF (Z > 0.5),S3,S9,60856,68547,0.1262000924854609,0.0,9205.317959279504,0.0
High Instantaneous SCL (Z > 0.5),S8,S9,75366,64500,0.06304121593141185,0.0,8807.578716739148,0.0
High Instantaneous LF (Z > 0.5),S13,S4,58738,48235,0.14525378178669643,0.0,8806.203661586815,0.0
High Instantaneous SCL (Z > 0.5),S4,S8,63500,75366,0.06304121593141185,0.0,8637.384202347086,0.0
High Instantaneous SCL (Z > 0.5),S13,S8,66400,75366,0.06304121593141185,0.0,8352.068587183889,0.0
High Instantaneous LF (Z > 0.5),S7,S8,55760,63066,0.11375315841824299,0.0,8189.781752103116,0.0
High Instantaneous SCL (Z > 0.5),S15,S8,68600,75366,0.06304121593141185,0.0,8103.084766444897,0.0
High Instantaneous LF (Z > 0.5),S14,S9,60525,68547,0.10949171696040474,0.0,8015.153458792539,0.0
Low Instantaneous Vagal Action (Z < -0.5),S14,S4,24976,105164,0.16958398132286734,0.0,7990.1130495893485,0.0
High Instantaneous LF (Z > 0.5),S16,S6,53941,57348,0.12399278402557909,0.0,7983.654561799578,0.0
High Instantaneous SCL (Z > 0.5),S13,S7,66400,71599,0.05521268910225449,0.0,7904.117905174145,0.0
High Instantaneous LF (Z > 0.5),S10,S7,51497,55760,0.13304116776831518,0.0,7899.555217800182,0.0
High Instantaneous LF (Z > 0.5),S13,S14,58738,60525,0.11591629310737507,0.0,7794.472110125682,0.0
High Instantaneous SCL (Z > 0.5),S10,S7,72500,71599,0.05521268910225449,0.0,7778.581719534768,0.0
High Instantaneous LF (Z > 0.5),S10,S2,51497,45256,0.14023822106135997,0.0,7737.392395185146,0.0
High Instantaneous LF (Z > 0.5),S10,S14,51497,60525,0.1297330074268749,0.0,7701.750576838437,0.0
High Instantaneous SCL (Z > 0.5),S16,S7,67300,71599,0.05521268910225449,0.0,7670.964559204492,0.0
High Instantaneous SCL (Z > 0.5),S5,S8,64500,75366,0.06304121593141185,0.0,7568.188652970604,0.0
High Instantaneous LF (Z > 0.5),S17,S8,57958,63066,0.10328513431304578,0.0,7550.2714311857535,0.0
High Instantaneous SCL (Z > 0.5),S7,S9,71599,64500,0.05521268910225449,0.0,7249.415263170553,0.0
High Instantaneous LF (Z > 0.5),S14,S16,60525,53941,0.11355208033574715,0.0,7230.682698607509,0.0
Low Instantaneous Vagal Action (Z < -0.5),S6,S9,104068,55075,0.09113563929548378,0.0,7153.37552250421,0.0
High Instantaneous SCL (Z > 0.5),S5,S7,64500,71599,0.05521268910225449,0.0,7131.5851852222795,0.0
High Instantaneous SCL (Z > 0.5),S14,S8,61474,75366,0.09312546477086255,0.0,7059.972580161193,0.0
High Instantaneous SCL (Z > 0.5),S4,S7,63500,71599,0.05521268910225449,0.0,7033.286281388265,0.0
High Instantaneous SCL (Z > 0.5),S14,S7,61474,71599,0.08565756950952233,0.0,6878.197239256101,0.0
High Instantaneous LF (Z > 0.5),S15,S8,45935,63066,0.10756231089674892,0.0,6876.773113264264,0.0
Low Instantaneous Vagal Action (Z < -0.5),S16,S4,115497,105164,0.05570975015639623,0.0,6863.259863655486,0.0
High Instantaneous SCL (Z > 0.5),S15,S7,68600,71599,0.05521268910225449,0.0,6721.623876282497,0.0
High Instantaneous LF (Z > 0.5),S11,S8,57115,63066,0.09423421471892249,0.0,6646.641228610898,0.0
High Instantaneous LF (Z > 0.5),S17,S9,57958,68547,0.08082609577252751,0.0,6639.79696390783,0.0
High Instantaneous SCL (Z > 0.5),S2,S3,76240,70006,0.048559606242259745,0.0,6480.943377048721,0.0
Low Instantaneous Vagal Action (Z < -0.5),S11,S3,112092,104243,0.05046184456098269,0.0,6295.687170429605,0.0
High Instantaneous LF (Z > 0.5),S17,S2,57958,45256,0.10658638402431336,0.0,6152.272553591544,0.0
Low Instantaneous Vagal Action (Z < -0.5),S11,S14,112092,24976,0.11860581211585701,0.0,6066.175688100464,0.0
High Instantaneous LF (Z > 0.5),S6,S7,57348,55760,0.09783593960875833,0.0,6047.61788077835,0.0
High Instantaneous LF (Z > 0.5),S2,S6,45256,57348,0.10287575084223481,0.0,5989.646489301809,0.0
High Instantaneous LF (Z > 0.5),S14,S3,60525,60856,0.08769564431436458,0.0,5860.288245559354,0.0
High Instantaneous LF (Z > 0.5),S3,S4,60856,48235,0.0948648563167906,0.0,5760.127470389251,0.0
High Instantaneous LF (Z > 0.5),S15,S7,45935,55760,0.09816670638503062,0.0,5629.120721556458,0.0
High Instantaneous LF (Z > 0.5),S14,S6,60525,57348,0.07834884457454477,0.0,5592.906356444023,0.0
High Instantaneous LF (Z > 0.5),S10,S13,51497,58738,0.07744182426114395,0.0,5481.819734795203,0.0
High Instantaneous LF (Z > 0.5),S13,S16,58738,53941,0.08900663033457552,0.0,5450.3667267789815,0.0
Low Instantaneous Vagal Action (Z < -0.5),S14,S3,24976,104243,0.11456485965074159,0.0,5283.294305928753,0.0
High Instantaneous LF (Z > 0.5),S15,S16,45935,53941,0.08741751622112627,0.0,5012.505474689779,0.0
High Instantaneous LF (Z > 0.5),S15,S9,45935,68547,0.07904166247791497,0.0,4986.083960123022,0.0
High Instantaneous LF (Z > 0.5),S10,S9,51497,68547,0.07872891552572867,0.0,4938.607055342693,0.0
High Instantaneous LF (Z > 0.5),S3,S5,60856,58750,0.07391619157701149,0.0,4815.290848270272,0.0
High Instantaneous LF (Z > 0.5),S11,S13,57115,58738,0.07395597446799515,0.0,4797.395810123746,0.0
High Instantaneous LF (Z > 0.5),S6,S9,57348,68547,0.06460529597053422,0.0,4676.42723738101,0.0
High Instantaneous LF (Z > 0.5),S10,S4,51497,48235,0.081577416818641,0.0,4539.25956689679,0.0
Low Instantaneous Vagal Action (Z < -0.5),S14,S17,24976,117004,0.09704515973697132,0.0,4344.5235462110295,0.0
High Instantaneous LF (Z > 0.5),S13,S7,58738,55760,0.06610911041241219,0.0,4335.051185215084,0.0
High Instantaneous LF (Z > 0.5),S10,S17,51497,57958,0.06503319372169025,0.0,4132.859979664465,0.0
High Instantaneous LF (Z > 0.5),S6,S8,57348,63066,0.059714709167583715,0.0,4110.137959649224,0.0
High Instantaneous LF (Z > 0.5),S2,S9,45256,68547,0.05820965307478919,0.0,4109.019969907687,0.0
Low Instantaneous Vagal Action (Z < -0.5),S16,S3,115497,104243,0.031522945571363474,0.0,4055.0842714446712,0.0
High Instantaneous SCL (Z > 0.5),S14,S6,61474,83273,0.05122917114182507,0.0,3989.028994434809,0.0
High Instantaneous LF (Z > 0.5),S16,S3,53941,60856,0.054886278727918195,0.0,3928.714135127156,0.0
High Instantaneous LF (Z > 0.5),S13,S6,58738,57348,0.05637389198302663,0.0,3766.4893060982495,0.0
High Instantaneous LF (Z > 0.5),S3,S8,60856,63066,0.05450425974394738,0.0,3604.3447510468,0.0
High Instantaneous SCR (Z > 1.0),S2,S4,13799,14363,0.22904758175985954,0.0,3554.3675045887444,0.0
High Instantaneous LF (Z > 0.5),S13,S17,58738,57958,0.05284130476883924,0.0,3499.3671941731905,0.0
High Instantaneous LF (Z > 0.5),S14,S17,60525,57958,0.051283065434032625,0.0,3494.0162608848614,0.0
High Instantaneous LF (Z > 0.5),S10,S8,51497,63066,0.04860373789445234,0.0,3396.35623521706,0.0
High Instantaneous LF (Z > 0.5),S13,S15,58738,45935,0.05587702272559202,0.0,3357.9567898557802,0.0
High Instantaneous LF (Z > 0.5),S17,S4,57958,48235,0.054080714501972195,0.0,3353.028334953928,0.0
High Instantaneous SCR (Z > 1.0),S14,S4,7927,14363,0.2949557146656336,0.0,3345.2301172373577,0.0
High Instantaneous LF (Z > 0.5),S10,S3,51497,60856,0.05262390059668959,0.0,3256.690317885868,0.0
High Instantaneous SCR (Z > 1.0),S2,S6,13799,18456,0.16540009001421346,0.0,3236.3448246386724,0.0
High Instantaneous LF (Z > 0.5),S10,S5,51497,58750,0.05569090412049967,0.0,3179.444381645363,0.0
High Instantaneous LF (Z > 0.5),S14,S5,60525,58750,0.04812020550356007,0.0,3145.757676938529,0.0
High Instantaneous SCR (Z > 1.0),S14,S6,7927,18456,0.24282889070396674,0.0,3112.807284074596,0.0
High Instantaneous SCL (Z > 0.5),S10,S14,72500,61474,0.0330247690370715,0.0,3070.211222203775,0.0
High Instantaneous LF (Z > 0.5),S15,S2,45935,45256,0.06423561075970871,0.0,3023.448003514458,0.0
High Instantaneous SCL (Z > 0.5),S14,S15,61474,68600,0.0330247690370715,0.0,3014.678713342401,0.0
High Instantaneous SCR (Z > 1.0),S11,S6,18978,18456,0.12465473047725237,0.0,2943.435954393273,0.0
High Instantaneous SCR (Z > 1.0),S11,S4,18978,14363,0.16201014281584666,0.0,2936.08427600654,0.0
High Instantaneous SCL (Z > 0.5),S13,S14,66400,61474,0.0330247690370715,0.0,2923.920228574903,0.0
High Instantaneous SCL (Z > 0.5),S14,S16,61474,67300,0.0330247690370715,0.0,2908.67533750798,0.0
High Instantaneous LF (Z > 0.5),S4,S6,48235,57348,0.048875064926856775,0.0,2899.527440051722,0.0
High Instantaneous LF (Z > 0.5),S16,S17,53941,57958,0.04488379226547039,0.0,2895.4878488809104,0.0
High Instantaneous SCL (Z > 0.5),S14,S4,61474,63500,0.0330247690370715,0.0,2847.598488581018,0.0
High Instantaneous LF (Z > 0.5),S17,S7,57958,55760,0.04375104058151784,0.0,2789.90446355271,0.0
Low Instantaneous Vagal Action (Z < -0.5),S6,S7,104068,118929,0.02353662708752963,0.0,2737.37525399409,0.0
High Instantaneous LF (Z > 0.5),S10,S15,51497,45935,0.05313933685460946,0.0,2734.3152366556506,0.0
High Instantaneous LF (Z > 0.5),S13,S8,58738,63066,0.038743907210468435,0.0,2731.389997696447,0.0
High Instantaneous SCL (Z > 0.5),S14,S9,61474,64500,0.0330247690370715,0.0,2712.5604526400516,0.0
High Instantaneous SCL (Z > 0.5),S14,S5,61474,64500,0.0330247690370715,0.0,2712.5604526400516,0.0
High Instantaneous LF (Z > 0.5),S4,S9,48235,68547,0.043314077581253004,0.0,2668.3730090768613,0.0
High Instantaneous SCR (Z > 1.0),S15,S4,21803,14363,0.1305723340583543,0.0,2594.4106013430674,0.0
Low Instantaneous Vagal Action (Z < -0.5),S16,S17,115497,117004,0.019581036754680623,0.0,2543.5508747437357,0.0
High Instantaneous SCR (Z > 1.0),S14,S15,7927,21803,0.1846474924046065,0.0,2509.5915220011816,0.0
High Instantaneous SCR (Z > 1.0),S17,S4,6125,14363,0.2757933618846975,0.0,2458.791305065781,0.0
High Instantaneous SCR (Z > 1.0),S13,S4,21945,14363,0.13785962429154514,0.0,2447.49024489445,0.0
High Instantaneous SCR (Z > 1.0),S14,S16,7927,14475,0.21723413166092675,0.0,2376.7354802740388,0.0
High Instantaneous LF (Z > 0.5),S17,S5,57958,58750,0.0379013314511427,0.0,2354.899389736426,0.0
High Instantaneous SCR (Z > 1.0),S2,S8,13799,17272,0.12705552126946681,0.0,2273.6025405845544,0.0
High Instantaneous SCR (Z > 1.0),S16,S2,14475,13799,0.13915190624139548,0.0,2242.4144480111095,0.0
High Instantaneous SCR (Z > 1.0),S2,S9,13799,17623,0.0911375146135601,0.0,2235.6951498803137,0.0
High Instantaneous SCR (Z > 1.0),S14,S8,7927,17272,0.17560436265384835,0.0,2217.1734921775114,0.0
High Instantaneous LF (Z > 0.5),S14,S2,60525,45256,0.03730050884401081,0.0,2156.2016018208997,0.0
High Instantaneous LF (Z > 0.5),S5,S6,58750,57348,0.031039281600827938,0.0,2120.7711480174203,0.0
High Instantaneous SCR (Z > 1.0),S6,S7,18456,18292,0.09470285412130793,0.0,2107.819713045394,0.0
High Instantaneous LF (Z > 0.5),S3,S7,60856,55760,0.03205588969256074,0.0,2102.125034393572,0.0
Low Instantaneous Vagal Action (Z < -0.5),S14,S16,24976,115497,0.04345055939002717,0.0,2092.7324927608483,0.0
High Instantaneous SCR (Z > 1.0),S4,S7,14363,18292,0.11455022332391218,0.0,2092.5982501556496,0.0
High Instantaneous LF (Z > 0.5),S16,S7,53941,55760,0.03163664694942428,0.0,2053.8024262826248,0.0
High Instantaneous SCR (Z > 1.0),S13,S14,21945,7927,0.16033416468200304,0.0,2046.79193497942,0.0
High Instantaneous SCR (Z > 1.0),S4,S5,14363,18854,0.10747962414058236,0.0,2002.258050046784,0.0
High Instantaneous SCR (Z > 1.0),S17,S8,6125,17272,0.19058845132245517,0.0,1967.8607753907286,0.0
High Instantaneous SCR (Z > 1.0),S13,S17,21945,6125,0.17173237068354416,0.0,1960.6252041240637,0.0
High Instantaneous SCR (Z > 1.0),S14,S9,7927,17623,0.15142688192984816,0.0,1949.9566730170861,0.0
High Instantaneous SCR (Z > 1.0),S15,S8,21803,17272,0.09076056054680362,0.0,1948.7600734584005,0.0
High Instantaneous LF (Z > 0.5),S17,S6,57958,57348,0.02829729665551974,0.0,1941.5835105568449,0.0
High Instantaneous SCR (Z > 1.0),S13,S6,21945,18456,0.09238615076281442,0.0,1938.9585878973187,0.0
High Instantaneous SCR (Z > 1.0),S11,S16,18978,14475,0.09064205476933926,0.0,1888.497028095049,0.0
High Instantaneous SCR (Z > 1.0),S3,S6,9535,18456,0.11688323082054923,0.0,1836.6253721204923,0.0
High Instantaneous SCR (Z > 1.0),S11,S15,18978,21803,0.07790172162834247,0.0,1774.8481833332512,0.0
High Instantaneous LF (Z > 0.5),S2,S5,45256,58750,0.03287255218584593,0.0,1772.374951098122,0.0
High Instantaneous SCR (Z > 1.0),S3,S4,9535,14363,0.13335809458147285,0.0,1768.4292897273485,0.0
High Instantaneous SCR (Z > 1.0),S5,S6,18854,18456,0.08197881273078639,0.0,1740.2222979006326,0.0
High Instantaneous SCR (Z > 1.0),S17,S9,6125,17623,0.17258234575510883,0.0,1735.446241471926,0.0
High Instantaneous LF (Z > 0.5),S3,S6,60856,57348,0.0265293660112707,0.0,1723.3571636703525,0.0
High Instantaneous SCR (Z > 1.0),S15,S9,21803,17623,0.07474580488234225,0.0,1683.7502731419793,0.0
Low Instantaneous Vagal Action (Z < -0.5),S17,S4,117004,105164,0.012996455276759683,0.0,1649.8923726889034,0.0
High Instantaneous SCR (Z > 1.0),S16,S17,14475,6125,0.16941698801801214,0.0,1648.9154375573594,0.0
High Instantaneous SCR (Z > 1.0),S15,S2,21803,13799,0.08172009704293613,0.0,1624.7728108532178,0.0
High Instantaneous SCL (Z > 0.5),S2,S7,76240,71599,0.01090635917909163,0.0,1623.6032441360396,0.0
High Instantaneous LF (Z > 0.5),S15,S3,45935,60856,0.028542708579747264,0.0,1611.222577036126,0.0
High Instantaneous SCR (Z > 1.0),S10,S2,9340,13799,0.10000645660392816,0.0,1591.24324489631,0.0
High Instantaneous SCR (Z > 1.0),S11,S8,18978,17272,0.07101214115437372,0.0,1533.8186115816404,0.0
High Instantaneous LF (Z > 0.5),S15,S5,45935,58750,0.026521967523363874,0.0,1531.28246865354,0.0
High Instantaneous SCR (Z > 1.0),S13,S8,21945,17272,0.07926894590954842,0.0,1524.2712567539447,0.0
High Instantaneous SCR (Z > 1.0),S6,S8,18456,17272,0.07717874590242627,0.0,1516.6093773417817,0.0
High Instantaneous SCR (Z > 1.0),S6,S9,18456,17623,0.07616454574990356,0.0,1480.099713118453,0.0
